text,favoriteCount,created,statusSource,screenName,retweetCount,location
Every student should be able to graduate from college without taking on any debt. https://t.co/1aWqDOKh7p https://t.co/KHguTDbKW9,5178,21-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,2258,"New York, NY"
"Building an inclusive economy is another reason we’ve got to break down systemic racism, including under-investment in communities of color.",1333,21-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,613,"New York, NY"
"We’ve got to build an economy that welcomes people with disabilities, values their work, rewards them fairly, and treats them with respect.",1433,21-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,660,"New York, NY"
We'll make our economy and country more welcoming to people with disabilities. We all win when everyone gets to share in America's promise.,1980,21-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,725,"New York, NY"
"We have two names to add to a long list of African Americans killed by police officers. It’s unbearable, and it needs to become intolerable.",1773,21-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,922,"New York, NY"
"When we leave people out or write them off, we not only shortchange them and their dreams, we shortchange our country and our future.",1308,21-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,623,"New York, NY"
Keith Lamont Scott. Terence Crutcher. Too many others. This has got to end. -H,12695,21-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,5940,"New York, NY"
Live from Orlando: Watch Hillary share her plan for building an inclusive economy that helps everyone get ahead <U+2192> https://t.co/IX06FtcZG8,3365,21-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1238,"New York, NY"
".@TimKaine is more than just a great running mate—he's a great guy to have as a friend, too. https://t.co/5WX2qYgUjC",4489,21-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1466,"New York, NY"
"We believe that everyone has value.We believe that everyone's created equal.We believe that love trumps hate.https://t.co/tTgeqxNqYm",2507,21-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1221,"New York, NY"
We need a president who sees the best in all of us. https://t.co/vX0Oycto1Q,6921,21-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,3421,"New York, NY"
"A disability shouldn't define your future.At @ChildDefender, Hillary helped give kids the chance to succeed. https://t.co/jaMcdARYn1",4166,21-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1770,"New York, NY"
Americans with disabilities deserve the chance to work alongside those without disabilities—to do the same jobs for the same pay &amp; benefits.,1560,21-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,706,"New York, NY"
We've also seen the targeting of police officers—but so many serve every day with courage and honor and are committed to reform.,1090,21-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,448,"New York, NY"
Over 60% of adults with disabilities aren’t in the workplace. We have to fix that. https://t.co/J3Jq21ejtR,1326,21-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,674,"New York, NY"
"The ultimate test of our society is how we treat our fellow human beings, especially those who we have previously left behind.",1853,21-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,880,"New York, NY"
"In America, every person, no matter what you look like or who you are, should have the chance to go as far as your dreams will take you.",1457,21-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,693,"New York, NY"
None of us gets through life alone. We all have to look out for each other and lift each other up.,1798,21-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,837,"New York, NY"
Donald Trump's ties to Russia may conflict with America's interests—but they're great for his bottom line. https://t.co/gYbm5HxfxG,4319,22-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,2695,"New York, NY"
"""I think this is the most important election in my lifetime."" @ChelseaClinton takes the <ed><U+00A0><U+00BC><ed><U+00BE><U+00A4> in this week's podcast: https://t.co/dAwaE8Dg0C",2548,22-09-16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HillaryClinton,877,"New York, NY"
"No child should ever have to grow up in poverty, yet far too many do. We have to do better. Here's how: https://t.co/Qo1RmQDwd6",4464,22-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1971,"New York, NY"
Let's make sure nobody who works full-time in America has to live in poverty. https://t.co/mpGBCNlemA https://t.co/fCcXd1MrTo,5621,22-09-16,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",HillaryClinton,2205,"New York, NY"
"Donald Trump is really good at spending other people's money—on:Legal settlements.Payoffs.Portraits of himself. https://t.co/C5bXw5brI9",12439,22-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,6998,"New York, NY"
"""I really regret doing this."" —Hillary on Between Two Ferns https://t.co/OmDyINNCrW",37613,22-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,14484,"New York, NY"
Trump should have to answer exactly why he refuses to believe that @POTUS is American. https://t.co/NReJ3wJE8l,6879,22-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,3498,"New York, NY"
The man who could be your next president may be deeply indebted to another country. Do you trust him to run ours? https://t.co/5TU9olTqd5,10790,22-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,7632,"New York, NY"
"Most people who are bullies grow out of it. Donald Trump hasn't. https://t.co/tEJ9ATm9BS",7770,22-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,3943,"New York, NY"
Going to bat for kids who are too often counted out has always been a priority for Hillary. https://t.co/lTxRVn3NBM,3606,22-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1454,"New York, NY"
